epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,308.496,0.61835,1.24067,0.61707,1.14839,0.87401,0.73254,0.76486,0.62027,0.89298,0.74775,0.78088,0.55214,0.80183,2.1554,0.93368,1.20643,0.00100468,0.00100468,0.00100468
31,318.801,0.61485,1.2098,0.6252,1.13971,0.79274,0.64245,0.71869,0.57835,0.79413,0.62856,0.69653,0.46078,0.91219,2.55073,1.29213,1.29442,0.00100101,0.00100101,0.00100101
32,328.931,0.61494,1.21577,0.61777,1.14844,0.81827,0.74011,0.77032,0.61747,0.8174,0.73651,0.76422,0.53177,0.80595,2.17721,0.97686,1.17244,0.000997345,0.000997345,0.000997345
33,339.055,0.57394,1.13439,0.56531,1.10785,0.85606,0.70602,0.75896,0.61083,0.86513,0.72709,0.76882,0.52593,0.82658,2.20403,1.00255,1.2089,0.000993678,0.000993678,0.000993678
34,349.286,0.60947,1.17482,0.58504,1.13504,0.89364,0.73684,0.78501,0.63065,0.90501,0.7334,0.78931,0.54148,0.85725,1.90744,1.12993,1.26669,0.000990012,0.000990012,0.000990012
35,359.601,0.58683,1.17433,0.57059,1.12155,0.84459,0.75122,0.7728,0.62131,0.85297,0.74684,0.77375,0.53362,0.85594,2.33516,0.99267,1.24626,0.000986346,0.000986346,0.000986346
36,369.809,0.60693,1.14384,0.58632,1.14549,0.70395,0.73639,0.76337,0.58014,0.71352,0.74396,0.77998,0.52426,0.80419,2.00633,1.10225,1.20573,0.000982679,0.000982679,0.000982679
37,379.989,0.58125,1.13424,0.55863,1.11253,0.85728,0.72319,0.76589,0.61362,0.86861,0.71941,0.76726,0.53712,0.76777,1.9636,0.99717,1.15176,0.000979013,0.000979013,0.000979013
38,390.122,0.58439,1.13112,0.56172,1.13002,0.86549,0.74429,0.78651,0.63695,0.89115,0.75337,0.80658,0.5613,0.81882,1.86413,0.93489,1.20682,0.000975347,0.000975347,0.000975347
39,400.408,0.57947,1.14259,0.55845,1.12833,0.83365,0.76474,0.78157,0.62661,0.84939,0.75527,0.78757,0.52767,0.74464,1.9286,0.99556,1.12704,0.000971681,0.000971681,0.000971681
40,410.606,0.56172,1.10504,0.53343,1.11794,0.88018,0.74965,0.78541,0.64383,0.89426,0.73083,0.78885,0.55584,0.79067,1.93155,1.09938,1.18765,0.000968014,0.000968014,0.000968014
41,420.885,0.54702,1.05901,0.52154,1.08483,0.883,0.73811,0.77971,0.6396,0.87931,0.74396,0.78289,0.55852,0.7394,2.13891,0.89437,1.1066,0.000964348,0.000964348,0.000964348
42,431.179,0.56177,1.06559,0.52681,1.10669,0.89516,0.74403,0.78412,0.64796,0.90397,0.7516,0.79227,0.57763,0.72282,2.05758,0.96984,1.08412,0.000960682,0.000960682,0.000960682
43,441.406,0.56867,1.06804,0.53304,1.1073,0.89098,0.73071,0.78331,0.63919,0.89624,0.73645,0.79004,0.54342,0.74928,2.07161,1.03245,1.10551,0.000957015,0.000957015,0.000957015
44,451.522,0.57447,1.10144,0.54309,1.11421,0.88566,0.75533,0.78348,0.6404,0.89535,0.74977,0.79604,0.55459,0.75228,2.01604,0.89557,1.13434,0.000953349,0.000953349,0.000953349
45,461.7,0.56051,1.06313,0.53782,1.10729,0.88702,0.75567,0.80388,0.64928,0.90193,0.76892,0.82106,0.59336,0.77542,1.83652,0.89081,1.14122,0.000949683,0.000949683,0.000949683
46,471.983,0.54277,1.05379,0.51313,1.09585,0.91871,0.72284,0.81119,0.65282,0.90475,0.72888,0.8113,0.57868,0.73348,1.86972,0.93735,1.12493,0.000946016,0.000946016,0.000946016
47,482.082,0.5635,1.09102,0.52524,1.10852,0.91569,0.7167,0.78541,0.64746,0.92035,0.72326,0.78817,0.5547,0.75027,1.97254,0.89982,1.12249,0.00094235,0.00094235,0.00094235
48,492.275,0.55885,1.06128,0.53533,1.10716,0.86775,0.7471,0.78866,0.60297,0.86724,0.73834,0.79093,0.54171,0.87287,1.9797,1.08564,1.2197,0.000938684,0.000938684,0.000938684
49,502.387,0.54911,1.04475,0.51335,1.09567,0.88646,0.72356,0.78217,0.61422,0.89822,0.73273,0.79215,0.54224,0.83285,2.01494,0.87344,1.23643,0.000935018,0.000935018,0.000935018
50,512.545,0.55962,1.05058,0.52395,1.09892,0.89761,0.74189,0.79661,0.64802,0.89355,0.7511,0.79355,0.55726,0.74835,1.92801,1.08133,1.15138,0.000931351,0.000931351,0.000931351
