epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1297.71,0.4427,0.75379,0.37371,1.00486,0.90901,0.78197,0.83843,0.70696,0.91737,0.78948,0.84463,0.63035,0.70271,2.20528,0.76748,1.08622,0.000649046,0.000649046,0.000649046
128,1307.91,0.42969,0.74704,0.36118,0.99735,0.8733,0.77995,0.82618,0.69129,0.8877,0.77799,0.83151,0.59972,0.72715,2.05107,0.85316,1.11875,0.00064538,0.00064538,0.00064538
129,1318.11,0.43273,0.73655,0.36128,1.00706,0.88702,0.77132,0.82815,0.70604,0.89297,0.77706,0.83701,0.62841,0.65613,2.08804,0.73136,1.04634,0.000641714,0.000641714,0.000641714
130,1328.3,0.43332,0.73908,0.36088,1.006,0.92821,0.74775,0.81257,0.68572,0.93472,0.7629,0.82564,0.61049,0.68527,2.24256,0.94456,1.07333,0.000638047,0.000638047,0.000638047
131,1338.45,0.43154,0.73264,0.36422,1.00172,0.92009,0.77812,0.82907,0.6956,0.92347,0.77806,0.84074,0.61538,0.67508,1.98579,0.77242,1.05945,0.000634381,0.000634381,0.000634381
132,1348.68,0.43218,0.73099,0.35735,1.00237,0.89079,0.77228,0.80629,0.67812,0.90008,0.7868,0.81821,0.60134,0.68209,2.00801,0.96827,1.06116,0.000630715,0.000630715,0.000630715
133,1358.8,0.43668,0.76039,0.35742,1.00023,0.88129,0.79163,0.82075,0.68484,0.88925,0.79914,0.83063,0.61458,0.66135,2.01703,0.78902,1.05086,0.000627048,0.000627048,0.000627048
134,1368.99,0.42506,0.76245,0.35659,0.99779,0.93751,0.75473,0.82898,0.70057,0.92181,0.78053,0.83414,0.62979,0.6689,2.07625,0.7669,1.05064,0.000623382,0.000623382,0.000623382
135,1379.17,0.41803,0.72841,0.34981,0.99145,0.9178,0.75154,0.81916,0.69251,0.92935,0.76101,0.83006,0.61957,0.67193,2.1965,0.83585,1.05246,0.000619716,0.000619716,0.000619716
136,1389.35,0.41784,0.74056,0.34738,0.99298,0.92299,0.7534,0.82607,0.70481,0.90578,0.78889,0.84031,0.63426,0.66861,2.0679,0.84989,1.02798,0.000616049,0.000616049,0.000616049
137,1399.61,0.42651,0.71459,0.35867,0.99552,0.89844,0.73851,0.81151,0.68452,0.91079,0.74773,0.81717,0.60561,0.70187,2.40823,0.88883,1.08906,0.000612383,0.000612383,0.000612383
138,1409.68,0.42768,0.73002,0.34721,0.99638,0.9051,0.78563,0.82446,0.70371,0.90785,0.78917,0.82985,0.62676,0.65483,2.1402,0.81243,1.03361,0.000608717,0.000608717,0.000608717
139,1419.88,0.42813,0.75225,0.35807,1.00402,0.90505,0.76278,0.82271,0.69941,0.9107,0.77793,0.83669,0.62837,0.71184,1.92138,0.92012,1.11238,0.000605051,0.000605051,0.000605051
140,1430.09,0.41874,0.72391,0.3557,0.9938,0.90241,0.74286,0.80552,0.68408,0.88673,0.78965,0.82681,0.60527,0.74782,2.09785,0.91708,1.16945,0.000601384,0.000601384,0.000601384
141,1440.21,0.41264,0.70122,0.34653,0.99437,0.91121,0.76929,0.83842,0.70964,0.92617,0.78237,0.85713,0.6199,0.714,2.01798,0.79523,1.11738,0.000597718,0.000597718,0.000597718
142,1450.41,0.4153,0.70781,0.3444,0.9914,0.90964,0.7622,0.80369,0.68185,0.92038,0.77167,0.815,0.60016,0.70828,2.27928,0.90028,1.10733,0.000594052,0.000594052,0.000594052
143,1460.58,0.42154,0.71283,0.34358,0.99542,0.93481,0.75918,0.81643,0.70688,0.93572,0.76243,0.82191,0.61067,0.684,2.12298,0.87401,1.07481,0.000590385,0.000590385,0.000590385
144,1470.67,0.42839,0.73688,0.34844,1.00746,0.91238,0.75728,0.80832,0.69211,0.92394,0.76611,0.82155,0.60631,0.66768,2.1717,0.79082,1.04678,0.000586719,0.000586719,0.000586719
145,1480.84,0.42693,0.7474,0.35247,0.998,0.93803,0.7326,0.79568,0.67075,0.92537,0.74018,0.80029,0.58876,0.70762,2.09302,0.86413,1.0651,0.000583053,0.000583053,0.000583053
146,1491.05,0.42054,0.70601,0.34332,0.99192,0.91377,0.76136,0.8314,0.70608,0.92595,0.77427,0.83875,0.62674,0.70136,2.20199,0.80324,1.08161,0.000579386,0.000579386,0.000579386
147,1501.25,0.41541,0.70894,0.34903,0.9939,0.90818,0.74592,0.8174,0.70099,0.92682,0.76101,0.8363,0.62375,0.68168,2.13751,0.83763,1.07107,0.00057572,0.00057572,0.00057572
148,1511.38,0.40865,0.7048,0.33658,0.98874,0.91913,0.74965,0.82679,0.69954,0.92549,0.75533,0.83325,0.62149,0.63841,2.32455,0.80901,1.03304,0.000572054,0.000572054,0.000572054
149,1521.49,0.41715,0.71197,0.34975,0.99867,0.909,0.77237,0.82632,0.69923,0.91899,0.77237,0.83007,0.62088,0.66139,2.10631,0.79087,1.05365,0.000568388,0.000568388,0.000568388
150,1531.69,0.42051,0.71621,0.34321,0.99897,0.89291,0.76852,0.79945,0.68126,0.90362,0.76924,0.80491,0.60347,0.63356,2.19286,0.86454,1.02169,0.000564721,0.000564721,0.000564721
151,1541.85,0.42803,0.73579,0.34749,1.0003,0.90495,0.76486,0.82002,0.70757,0.91522,0.77433,0.82561,0.61981,0.67527,2.31077,0.8634,1.06541,0.000561055,0.000561055,0.000561055
152,1551.97,0.41791,0.7028,0.34635,0.99585,0.92851,0.75912,0.83551,0.71456,0.9353,0.7648,0.84276,0.64712,0.64778,1.92784,0.77608,1.02991,0.000557389,0.000557389,0.000557389
153,1562.22,0.41362,0.71001,0.34766,0.99084,0.91804,0.75069,0.81377,0.69146,0.92264,0.75448,0.81356,0.61034,0.65338,2.14901,0.88589,1.03772,0.000553722,0.000553722,0.000553722
154,1572.42,0.40232,0.68794,0.33542,0.98614,0.909,0.77682,0.83169,0.70487,0.89743,0.7925,0.83929,0.63511,0.66197,2.09114,0.80117,1.05928,0.000550056,0.000550056,0.000550056
155,1582.59,0.40651,0.69858,0.32712,0.98719,0.92771,0.75722,0.83187,0.70318,0.93453,0.7629,0.83096,0.61888,0.67179,2.0233,0.84583,1.06671,0.00054639,0.00054639,0.00054639
156,1592.74,0.40375,0.68082,0.33562,0.98906,0.92419,0.74857,0.81373,0.6884,0.88084,0.79708,0.82237,0.6093,0.65867,2.0392,0.90873,1.03588,0.000542723,0.000542723,0.000542723
157,1602.9,0.40407,0.6767,0.33274,0.98231,0.90083,0.77054,0.79986,0.67133,0.90981,0.77783,0.80937,0.58945,0.66753,2.05127,1.11447,1.03649,0.000539057,0.000539057,0.000539057
158,1613.04,0.42343,0.69291,0.33416,0.99832,0.90039,0.77427,0.81261,0.68862,0.91413,0.77072,0.82483,0.61414,0.6711,2.09749,0.87984,1.0695,0.000535391,0.000535391,0.000535391
159,1623.23,0.41001,0.69392,0.33282,0.98523,0.8968,0.78929,0.83607,0.71509,0.90102,0.79302,0.84559,0.62864,0.68138,2.02126,0.83499,1.05309,0.000531725,0.000531725,0.000531725
160,1633.46,0.40109,0.66774,0.32188,0.97981,0.91998,0.75103,0.81564,0.69813,0.92831,0.75905,0.82355,0.6164,0.68018,2.33525,0.85896,1.07143,0.000528058,0.000528058,0.000528058
161,1643.65,0.40966,0.6777,0.32792,0.98834,0.92821,0.76636,0.83324,0.70524,0.90283,0.80062,0.84013,0.62778,0.65845,2.0736,0.8261,1.04662,0.000524392,0.000524392,0.000524392
162,1653.84,0.39401,0.65684,0.3235,0.97727,0.92248,0.76669,0.83136,0.70975,0.92254,0.76865,0.83833,0.62896,0.64856,2.13937,0.79693,1.03465,0.000520726,0.000520726,0.000520726
163,1664.05,0.40702,0.68209,0.33065,0.98573,0.89526,0.78367,0.83279,0.71174,0.90908,0.79314,0.8458,0.63823,0.63241,2.0978,0.76735,1.01478,0.000517059,0.000517059,0.000517059
164,1674.32,0.40222,0.66779,0.32502,0.98317,0.93745,0.74046,0.82453,0.70787,0.89518,0.77558,0.82606,0.62524,0.63325,2.17765,0.80711,1.00267,0.000513393,0.000513393,0.000513393
165,1684.5,0.40331,0.66551,0.33467,0.98272,0.92296,0.77016,0.84053,0.71541,0.9237,0.77048,0.84316,0.63065,0.68482,2.01194,0.80636,1.07816,0.000509727,0.000509727,0.000509727
166,1694.72,0.40902,0.67913,0.33094,0.98769,0.92208,0.7648,0.82975,0.71419,0.91979,0.76297,0.82648,0.62964,0.67288,2.25046,0.85094,1.05352,0.00050606,0.00050606,0.00050606
167,1704.95,0.39662,0.63443,0.32562,0.97708,0.90951,0.75722,0.82896,0.71588,0.91859,0.7648,0.83668,0.62898,0.64338,2.1447,0.85847,1.01933,0.000502394,0.000502394,0.000502394
168,1715.06,0.39911,0.66017,0.3254,0.97815,0.917,0.75722,0.82216,0.7077,0.9259,0.7648,0.82662,0.61334,0.65316,2.08998,0.85611,1.02588,0.000498728,0.000498728,0.000498728
169,1725.31,0.38981,0.6403,0.31839,0.97802,0.93017,0.76794,0.82229,0.70924,0.93916,0.77576,0.83937,0.62484,0.65929,2.05719,0.76973,1.06815,0.000495062,0.000495062,0.000495062
170,1735.43,0.40896,0.65473,0.33625,0.98228,0.89569,0.7738,0.82717,0.70473,0.90206,0.77942,0.83624,0.63715,0.65879,1.98302,0.77932,1.05003,0.000491395,0.000491395,0.000491395
171,1745.68,0.39868,0.67941,0.32177,0.98233,0.91246,0.78178,0.81356,0.69427,0.92751,0.77414,0.81464,0.61175,0.63147,2.15618,0.81508,0.99912,0.000487729,0.000487729,0.000487729
172,1755.82,0.40481,0.66547,0.32814,0.98627,0.93291,0.74207,0.81617,0.69691,0.92599,0.75912,0.82017,0.61289,0.65296,2.1536,0.86129,1.0305,0.000484063,0.000484063,0.000484063
173,1765.98,0.38978,0.6524,0.31602,0.97718,0.91073,0.7767,0.83202,0.70978,0.90989,0.78891,0.83829,0.62927,0.6632,1.98195,0.83244,1.05418,0.000480396,0.000480396,0.000480396
174,1776.2,0.39835,0.65057,0.31579,0.98292,0.92648,0.78202,0.85768,0.73293,0.91799,0.79945,0.8598,0.6485,0.63767,2.0136,0.74558,1.01479,0.00047673,0.00047673,0.00047673
175,1786.49,0.3883,0.65379,0.30849,0.97507,0.91672,0.76899,0.82347,0.7069,0.92525,0.77646,0.82776,0.62209,0.66021,2.15869,0.78085,1.04271,0.000473064,0.000473064,0.000473064
176,1796.7,0.39614,0.64183,0.32097,0.98,0.93749,0.75154,0.83032,0.71593,0.92014,0.78089,0.83455,0.62854,0.60183,2.10955,0.75241,0.96109,0.000469397,0.000469397,0.000469397
177,1806.94,0.39735,0.65816,0.32663,0.97355,0.92284,0.7629,0.82736,0.71515,0.93777,0.75725,0.83314,0.63937,0.64755,2.01901,0.78388,1.01305,0.000465731,0.000465731,0.000465731
178,1817.15,0.38712,0.63168,0.30886,0.9673,0.89145,0.75154,0.8129,0.70005,0.90402,0.76101,0.82082,0.61845,0.65119,2.27217,0.85685,1.0507,0.000462065,0.000462065,0.000462065
179,1827.29,0.40193,0.66244,0.32712,0.98163,0.88905,0.77874,0.81127,0.69673,0.90593,0.78097,0.81364,0.61804,0.72136,2.31107,0.88442,1.11682,0.000458399,0.000458399,0.000458399
180,1837.48,0.39344,0.64432,0.31893,0.98089,0.92093,0.75595,0.8241,0.70712,0.93073,0.75566,0.82834,0.62134,0.66127,2.1343,0.83652,1.04983,0.000454732,0.000454732,0.000454732
181,1847.69,0.39319,0.62485,0.31124,0.97762,0.92499,0.75562,0.82537,0.71211,0.91993,0.76141,0.82908,0.6228,0.66615,2.25495,0.81009,1.05877,0.000451066,0.000451066,0.000451066
182,1857.83,0.3943,0.66265,0.31336,0.98335,0.90674,0.77324,0.83665,0.72622,0.91979,0.79254,0.84681,0.63743,0.68298,2.1671,0.82215,1.07913,0.0004474,0.0004474,0.0004474
183,1868.02,0.39798,0.63071,0.32293,0.98245,0.91771,0.77604,0.83983,0.72365,0.92265,0.77982,0.84136,0.64044,0.64735,2.02882,0.79517,1.01783,0.000443733,0.000443733,0.000443733
184,1878.27,0.38418,0.63479,0.30907,0.97394,0.90797,0.77616,0.8291,0.71194,0.91407,0.77427,0.83137,0.6258,0.69892,2.18199,0.87968,1.09112,0.000440067,0.000440067,0.000440067
185,1888.44,0.38455,0.65254,0.31176,0.97516,0.92077,0.7648,0.82619,0.71496,0.92077,0.7648,0.82991,0.62662,0.67727,2.18293,0.88869,1.07444,0.000436401,0.000436401,0.000436401
186,1898.66,0.37268,0.60286,0.30752,0.96592,0.88637,0.7743,0.82487,0.7062,0.89765,0.77662,0.8331,0.62137,0.63735,1.98807,0.84476,1.00877,0.000432734,0.000432734,0.000432734
187,1908.8,0.38141,0.6241,0.31245,0.96386,0.91005,0.78152,0.82721,0.7059,0.9187,0.78752,0.83702,0.62748,0.66999,2.20056,0.83582,1.0897,0.000429068,0.000429068,0.000429068
188,1918.98,0.38667,0.62436,0.30864,0.97213,0.92726,0.77237,0.8256,0.7105,0.92355,0.78612,0.83481,0.62486,0.6486,2.04828,0.82261,1.05444,0.000425402,0.000425402,0.000425402
189,1929.17,0.37591,0.61367,0.30236,0.9681,0.90746,0.76284,0.83111,0.71868,0.91638,0.77042,0.83842,0.63777,0.66929,2.27033,0.8322,1.07016,0.000421736,0.000421736,0.000421736
190,1939.35,0.37927,0.63716,0.30673,0.96493,0.92384,0.75545,0.83534,0.72051,0.91565,0.78178,0.84122,0.63983,0.64875,2.30449,0.82065,1.03898,0.000418069,0.000418069,0.000418069
191,1949.55,0.37783,0.61618,0.30027,0.96857,0.93413,0.75163,0.82771,0.70882,0.94117,0.75731,0.83681,0.63219,0.66739,2.19417,0.81724,1.06893,0.000414403,0.000414403,0.000414403
192,1959.67,0.38372,0.61817,0.30987,0.9679,0.92881,0.76051,0.82023,0.69668,0.92877,0.7648,0.826,0.61979,0.67417,2.30651,0.82509,1.08026,0.000410737,0.000410737,0.000410737
193,1969.85,0.37159,0.61038,0.29714,0.96949,0.91572,0.77048,0.83617,0.72364,0.92218,0.77616,0.84308,0.64382,0.61908,2.10909,0.77749,1.02349,0.00040707,0.00040707,0.00040707
194,1980.05,0.37433,0.62418,0.30346,0.96561,0.91999,0.76669,0.80571,0.69492,0.92435,0.77048,0.81175,0.60887,0.63133,2.21408,0.82023,1.02873,0.000403404,0.000403404,0.000403404
195,1990.22,0.37001,0.60231,0.29593,0.95774,0.93118,0.75304,0.80687,0.69785,0.93118,0.75304,0.80668,0.61383,0.66965,2.39216,0.84077,1.0608,0.000399738,0.000399738,0.000399738
196,2000.41,0.37682,0.60136,0.29476,0.96115,0.91493,0.78464,0.84043,0.72676,0.93287,0.77149,0.83988,0.64588,0.65714,2.25208,0.7733,1.06115,0.000396071,0.000396071,0.000396071
197,2010.58,0.38113,0.61383,0.3025,0.9653,0.90167,0.7862,0.84898,0.73097,0.92081,0.77204,0.84952,0.65094,0.63508,2.34061,0.74479,1.02987,0.000392405,0.000392405,0.000392405
198,2020.71,0.38204,0.60797,0.29756,0.97149,0.90634,0.78923,0.84949,0.73237,0.90413,0.7874,0.85256,0.65281,0.64242,2.15653,0.75135,1.03305,0.000388739,0.000388739,0.000388739
199,2030.93,0.37134,0.61237,0.28889,0.96239,0.9214,0.76574,0.81831,0.7072,0.93215,0.77237,0.8288,0.61882,0.63812,2.30732,0.82051,1.02155,0.000385073,0.000385073,0.000385073
200,2041,0.37332,0.60697,0.29421,0.96098,0.91668,0.77561,0.82428,0.71361,0.91682,0.77555,0.8279,0.6263,0.61285,2.22473,0.8041,0.99161,0.000381406,0.000381406,0.000381406
201,2051.18,0.36011,0.58785,0.29176,0.95576,0.91513,0.77186,0.82144,0.70645,0.91949,0.77565,0.82703,0.63129,0.64417,2.23246,0.82795,1.02424,0.00037774,0.00037774,0.00037774
202,2061.38,0.3662,0.59308,0.28737,0.95867,0.90291,0.7899,0.82139,0.71692,0.93083,0.78003,0.8334,0.64003,0.66948,2.26626,0.83413,1.05167,0.000374074,0.000374074,0.000374074
203,2071.52,0.37438,0.59333,0.29909,0.96738,0.89892,0.77225,0.82018,0.70639,0.91159,0.78355,0.83084,0.63013,0.65927,2.16381,0.85188,1.04689,0.000370407,0.000370407,0.000370407
204,2081.72,0.36514,0.58706,0.2854,0.95725,0.93325,0.74409,0.83061,0.71494,0.88325,0.79119,0.83524,0.64402,0.62677,2.29104,0.76864,1.00636,0.000366741,0.000366741,0.000366741
205,2091.89,0.37499,0.6044,0.29522,0.9587,0.88715,0.7746,0.82716,0.71584,0.91025,0.77593,0.83227,0.63791,0.62436,2.33894,0.79723,1.00009,0.000363075,0.000363075,0.000363075
206,2102.06,0.36897,0.60009,0.29853,0.96497,0.89512,0.77231,0.81674,0.69922,0.89444,0.77457,0.82289,0.62109,0.65095,2.24189,0.83267,1.02769,0.000359409,0.000359409,0.000359409
207,2112.26,0.36617,0.58782,0.29528,0.95296,0.88342,0.77989,0.81336,0.69386,0.89121,0.78157,0.81745,0.61343,0.66602,2.22032,0.81057,1.04896,0.000355742,0.000355742,0.000355742
208,2122.46,0.37503,0.61134,0.29502,0.96648,0.89694,0.75176,0.78089,0.66524,0.91204,0.76502,0.79543,0.58506,0.69163,2.49064,0.86172,1.07497,0.000352076,0.000352076,0.000352076
209,2132.58,0.35429,0.58466,0.28208,0.95372,0.92717,0.7535,0.82906,0.71816,0.93175,0.75722,0.83837,0.63566,0.68647,2.31513,0.86334,1.05913,0.00034841,0.00034841,0.00034841
210,2142.75,0.36099,0.60945,0.29027,0.95678,0.89663,0.7768,0.83388,0.7129,0.90963,0.77039,0.83499,0.62708,0.64994,2.23045,0.80166,1.03466,0.000344743,0.000344743,0.000344743
211,2152.95,0.36865,0.58011,0.2819,0.96762,0.89857,0.76859,0.81913,0.6979,0.91016,0.77211,0.82473,0.61849,0.64285,2.31357,0.81885,1.04854,0.000341077,0.000341077,0.000341077
212,2163.09,0.36104,0.57068,0.28777,0.96136,0.9024,0.78746,0.82323,0.70432,0.93158,0.77666,0.82058,0.62652,0.64923,2.41108,0.85095,1.02362,0.000337411,0.000337411,0.000337411
213,2173.29,0.36084,0.5926,0.28382,0.95005,0.90307,0.77809,0.82409,0.70864,0.91507,0.77467,0.82111,0.62325,0.63913,2.58624,0.81457,1.0163,0.000333744,0.000333744,0.000333744
214,2183.49,0.35552,0.5767,0.27787,0.95717,0.88495,0.78178,0.82911,0.72015,0.88914,0.79025,0.83528,0.64114,0.6368,2.25691,0.81567,1.02224,0.000330078,0.000330078,0.000330078
215,2193.68,0.35891,0.57002,0.27607,0.95529,0.9281,0.76694,0.8323,0.72807,0.9159,0.79191,0.83606,0.63592,0.63178,2.4122,0.80848,1.00831,0.000326412,0.000326412,0.000326412
216,2203.84,0.36465,0.57909,0.28265,0.95802,0.91937,0.77532,0.83901,0.73457,0.93815,0.77237,0.83809,0.64156,0.60691,2.4197,0.75875,0.97144,0.000322745,0.000322745,0.000322745
217,2214.03,0.35452,0.55317,0.27846,0.9573,0.93137,0.74539,0.83203,0.7176,0.92381,0.75539,0.82797,0.63179,0.6187,2.48478,0.78998,0.99752,0.000319079,0.000319079,0.000319079
218,2224.28,0.36182,0.59681,0.28485,0.96178,0.93304,0.7629,0.83631,0.71909,0.91162,0.78047,0.83456,0.63713,0.61273,2.22144,0.80346,0.99214,0.000315413,0.000315413,0.000315413
219,2234.43,0.35107,0.59221,0.27457,0.95958,0.9291,0.76445,0.83044,0.71449,0.92726,0.76822,0.83124,0.63417,0.64688,2.31218,0.85693,1.0279,0.000311747,0.000311747,0.000311747
220,2244.65,0.35651,0.56175,0.27341,0.95259,0.92111,0.7578,0.83168,0.71999,0.89936,0.77989,0.83247,0.6396,0.66871,2.36573,0.86473,1.0647,0.00030808,0.00030808,0.00030808
221,2254.81,0.3593,0.56275,0.27282,0.95475,0.9102,0.78285,0.84057,0.73059,0.90893,0.7933,0.84539,0.64544,0.68745,2.31925,0.86155,1.09695,0.000304414,0.000304414,0.000304414
222,2265,0.35115,0.57895,0.26648,0.94858,0.88987,0.79407,0.83656,0.72698,0.89921,0.80086,0.84235,0.64151,0.70648,2.18757,0.89615,1.11194,0.000300748,0.000300748,0.000300748
223,2275.19,0.36467,0.57853,0.28121,0.95715,0.90679,0.76588,0.83767,0.73152,0.89174,0.79687,0.8451,0.64193,0.69929,2.4341,0.88969,1.10156,0.000297081,0.000297081,0.000297081
224,2285.4,0.35769,0.5633,0.2721,0.95532,0.92076,0.77655,0.84193,0.73192,0.92503,0.78034,0.84136,0.64468,0.65997,2.43194,0.84739,1.04472,0.000293415,0.000293415,0.000293415
225,2295.52,0.34634,0.54604,0.26472,0.94218,0.94469,0.75343,0.84204,0.73278,0.92561,0.77444,0.84733,0.65167,0.65051,2.57411,0.86247,1.04847,0.000289749,0.000289749,0.000289749
226,2305.73,0.34896,0.5736,0.26816,0.94241,0.91685,0.77933,0.8376,0.71868,0.92323,0.78502,0.84304,0.64107,0.66384,2.31647,0.85589,1.0536,0.000286083,0.000286083,0.000286083
227,2315.88,0.34693,0.55412,0.27083,0.94545,0.90672,0.77687,0.83643,0.72508,0.90096,0.78312,0.83815,0.64614,0.64599,2.31577,0.83815,1.03983,0.000282416,0.000282416,0.000282416
228,2326.1,0.34791,0.54039,0.2723,0.9501,0.92896,0.76069,0.82457,0.7154,0.92206,0.77616,0.83193,0.63452,0.65028,2.49966,0.84386,1.0669,0.00027875,0.00027875,0.00027875
